CBM_cost,Estado,fecha_de_salida,fecha_de_llegada,contenedor,codigo,producto,cantidad,costo,cantidad_por_caja,cantidad_de_cajass,cm_a,cm_l,cm_p,CBMM,CBM_TOTAL,costo_caja,costo_total_envio,costo_envio_unit,costo_unitario_prod,costo_total,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1801,RELOJ INTELIGENTE S16 NEGRO + CORREA ADICIONAL (ROSADA),300.00,$3.80,100,3,48,49,24,$0.056,$0.17,$31.05,$93.14,$0.31,$4.11,1233.1392,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1798,ANTORCHA SOLAR DE LLAMA LED IMPERMIABLE PARA JARDIN DECORACION,384.00,$0.85,96,4,55,42,45.2,$0.104,$0.42,$57.43,$229.71,$0.60,$1.45,556.1064,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1040,CORTADOR PICATODO DE COCINA 17 EN 1,144.00,$2.15,24,6,67.5,38.5,49.5,$0.129,$0.77,$70.75,$424.51,$2.95,$5.10,734.1058125,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1205,SET DE LIGAS DE RESISTENCIA 5 PCS,500.00,$0.86,100,5,30,30,30,$0.027,$0.14,$14.85,$74.25,$0.15,$1.01,504.25,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1813 MASS1802,Almohadilla de calentamiento Menstrual portátil (30blancos-30rosado),60.00,$4.00,60,1,49.5,45.2,32,$0.072,$0.07,$39.38,$39.38,$0.66,$4.66,279.37824,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2211,PROYECTOR HY300 720,160.00,$21.80,20,8,61.6,28.5,45,$0.079,$0.63,$43.45,$347.61,$2.17,$23.97,3835.6088,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2083,SET DE CABALLERO (NEGRO),150.00,$2.30,1,150,13,8,5,$0.001,$0.08,$0.29,$42.90,$0.29,$2.59,387.9,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2118,MINI AFEITADORA ELECTRICA,400.00,$1.00,400,1,43.5,41.5,29,$0.052,$0.05,$28.79,$28.79,$0.07,$1.07,428.7937375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS2112MASS2113MASS2114MASS2115","Teléfono infantil A16 con pantalla táctil
Chip: MKT6261D 800 mAh
Tiempo de carga: 2 h
Resolución de pantalla: 240 x 320
Tamaño de pantalla: IPS de 2,8 pulgadas
Cámara frontal: 30 W
Tiempo en espera: 3 días
Memoria: 32 MB
Tarjeta de memoria: 8 GB
Memoria expandible: Admite tarjeta de memoria extendida
Tamaño del dispositivo: 97,5 x 54,5 x 13 mm
Descarga de la aplicación: No
Color: Azul, rosa, negro y blanco",200.00,$15.00,50,4,42,35,31,$0.046,$0.18,$25.06,$100.25,$0.50,$15.50,3100.254,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2110,LIMPIADOR DE VENTANAS MAGICO,240.00,$0.68,120,2,52,52,41.5,$0.112,$0.22,$61.72,$123.44,$0.51,$1.19,286.6376,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2095,"LAPIZ INFINITO DE COLOR
12pcs set",240.00,$0.90,80,3,34,32,40,$0.044,$0.13,$23.94,$71.81,$0.30,$1.20,287.808,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS2080
MASS2081","RELOJ INTELIGENTE QX11 BATERIA 520 MAH
(150 NEGRO, 100BLANQUECINO )",250.00,$10.65,100,2.5,50,27,31,$0.042,$0.10,$23.02,$57.54,$0.23,$10.88,2720.04375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS2075
MASS2076
MASS2077
MASS2078","Cera Pintar Cabello Colores Temporal Fijadora
(50AZUL,50VERDE,50ROJO,50MORADO)",200.00,$1.00,100,2,50,50,10,$0.025,$0.05,$13.75,$27.50,$0.14,$1.14,227.5,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS0691,FORRO DE SILICON PARA PENE YMSK001,320.00,$0.60,120,2.666666667,40,35,36,$0.050,$0.13,$27.72,$73.92,$0.23,$0.83,265.92,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2199,Set de viaje 8 pcs 40 negro/ 45 grises/35 azul o,120.00,$3.25,10,12,35,25,30,$0.026,$0.32,$14.44,$173.25,$1.44,$4.69,563.25,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2195,COCHE PARA BEBE VIAJERO YOYO,8.00,$45.00,1,8,38,17.5,67.5,$0.045,$0.36,$24.69,$197.51,$24.69,$69.69,557.505,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2191,HUMIFICADOR GRANDE,96.00,$3.20,24,4,53,35.5,54,$0.102,$0.41,$55.88,$223.52,$2.33,$5.53,530.7222,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1919,Vibrador Trio Recargable Usb Rabbit Consolador Estimulación,100.00,$2.28,100,1,59,53.8,40.5,$0.129,$0.13,$70.71,$70.71,$0.71,$2.99,298.705305,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS0018
MASS0019
MASS0020","ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX XQRE036(100ROSA,100NEGRO,100morado)",300.00,$0.80,300,1,30,25,36,$0.027,$0.03,$14.85,$14.85,$0.05,$0.85,254.85,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2184,OVULOS ESTRECHANTES Y APRIETE VAGINAL,300.00,$1.80,150,2,40,40,10,$0.016,$0.03,$8.80,$17.60,$0.06,$1.86,557.6,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1718,"Vibrador de silicona reutilizable para hombres, Anillo para el pene,",100.00,$0.40,100,1,43,22,28,$0.026,$0.03,$14.57,$14.57,$0.15,$0.55,54.5684,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS0947,SATISFAYER ROSADO XQZK003,100.00,$2.50,100,1,35,20,40,$0.028,$0.03,$15.40,$15.40,$0.15,$2.65,265.4,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1720,VIBRADOR ANAL 10 VELOCIDADES,40.00,$4.50,50,0.8,45,46,18,$0.037,$0.03,$20.49,$16.39,$0.41,$4.91,196.3944,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS0391
MASS0393
MASS0388
MASS0394
MASS0390","PLUG ANAL TALLA S AMARILLO rosa,azul,rojo,morado,transparente",300.00,$0.55,300,1,36,34,20,$0.024,$0.02,$13.46,$13.46,$0.04,$0.59,178.464,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1959,Masturbador De Torso Corporal Realista (VAGINA),40.00,$5.90,1,40,23,15,11,$0.004,$0.15,$2.09,$83.49,$2.09,$7.99,319.49,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1874,SET DE CEPILLO SECADOR 5 EN 1,200.00,$4.24,20,10,62,35,49.5,$0.107,$1.07,$59.08,$590.78,$2.95,$7.19,1438.7825,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS0889,BALANZA PERSONAL RECARGABLE,400.00,$1.75,20,20,54.5,25,28.5,$0.039,$0.78,$21.36,$427.14,$1.07,$2.82,1127.14375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,mass0890,DISPENSADOR DE AGUA RECARGABLE ELEGANTE,180.00,$1.90,60,3,45,38,36,$0.062,$0.18,$33.86,$101.57,$0.56,$2.46,443.574,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1522,NAVAJA MULTIHERRAMIENTA DE ACERO,360.00,$3.10,40,9,35.2,31.5,23.8,$0.026,$0.24,$14.51,$130.63,$0.36,$3.46,1246.627728,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1693,MASTURBADOR MASCULINO BOCA,50.00,$1.10,50,1,36,31,56,$0.062,$0.06,$34.37,$34.37,$0.69,$1.79,89.3728,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1897,"Bañera de hielo espesa de alta calidad con tapa para terapia de agua fría y buceo en hielo, bañera plegable y portátil",48.00,$14.00,6,8,66,39,53,$0.136,$1.09,$75.03,$600.26,$12.51,$26.51,1272.2568,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1879,PAINT ZOOM AZUL,64.00,$8.45,4,16,47,36.5,41,$0.070,$1.13,$38.68,$618.95,$9.67,$18.12,1159.7524,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1977,repElenete para zancudo,240.00,$0.95,80,3,50,40,30,$0.060,$0.18,$33.00,$99.00,$0.41,$1.36,327,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,"MASS1268
MASS1269
MASS1270
MASS1271
MASS1272","AUDIFONO AIR 31 RECARGABLE BLUETOOH TRASPARENTE
(175NEGRO,175BLANCO,50VERDE,50ROSADO,50AZUL)",500.00,$1.20,100,5,43,28.3,50,$0.061,$0.30,$33.46,$167.32,$0.33,$1.53,767.32375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2164,CINTA ADHESIVA DECORATIVA GRIS 2 CM X 50MTS,600.00,$0.95,120,5,45,45,42,$0.085,$0.43,$46.78,$233.89,$0.39,$1.34,803.8875,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2160,"PERFIL WALL PANEL HYYC073 BLANCO 30x30mm x 2,90m",100.00,$1.00,50,2,295,15,8.5,$0.038,$0.08,$20.69,$41.37,$0.41,$1.41,141.37375,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1696 negro rosa verde,Vibrador Brocha Maquillaje Multiples Velocidades Recargable rojo,100.00,$2.50,100,1,54,40,23,$0.050,$0.05,$27.32,$27.32,$0.27,$2.77,277.324,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2158,"PERFIL WALL PANEL HYYC045 GRIS OSCURO 30x30mm x 2,90m",100.00,$1.00,50,2,295,15,8.5,$0.038,$0.08,$20.69,$41.37,$0.41,$1.41,141.37375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2156,"PERFIL WALL PANEL MARRON CLARO 8882 30x30mm x 2,90m",100.00,$1.00,50,2,295,15,8.5,$0.038,$0.08,$20.69,$41.37,$0.41,$1.41,141.37375,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS1402,PISO VINIL AUTOADHESIVO 3013 ALTO TRAFICO 2MM GROSOR 914.4MM*152.4MM,100.00,$11.20,1,100,94,16.5,9,$0.014,$1.40,$7.68,$767.75,$7.68,$18.88,1887.745,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,,PEDIDO REVESTIMIENTO,,,,,,,,,,,,,,,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,"Irrigador Bucal con 5 Puntas de Chorro, Limpíador de Dientes Electronico, Deposito 300 ml Water Flosser, Kit de Limpieza Dental Floss Blanqueador Removedor de Placa, Hilo Dental de Agua Recargable",60.00,$2.50,60,1,41.5,51,53,$0.112,$0.11,$61.70,$61.70,$1.03,$3.53,211.695975,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1720,VIBRADOR ANAL 10 VELOCIDADES,40.00,$4.50,40,1,44,30,30,$0.040,$0.04,$21.78,$21.78,$0.54,$5.04,201.78,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,"SILLA CAMPING PLEGABLE
Negro 80/Azul marino35/Rojo35",150.00,$3.50,10,15,80,23,47,$0.086,$1.30,$47.56,$713.46,$4.76,$8.26,1238.46,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,COTUFERA DE AIRE ELECTRICA 110V,72.00,$6.00,12,6,39.5,36,56,$0.080,$0.48,$43.80,$262.79,$3.65,$9.65,694.7856,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,AIRE ACONDICIONADO PORTATIL (Especificaciones ),24.00,$7.28,10,2.4,52,43,64,$0.143,$0.34,$78.71,$188.90,$7.87,$15.15,363.61728,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0695,VARA SADOMASOQUISMO HLKB01,30.00,$2.80,50,0.6,50,50,30,$0.075,$0.05,$41.25,$24.75,$0.83,$3.63,108.75,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0498,"SET ADULTO JUEGO SEXUAL BONDAGE LATIGO, MORDAZA, ESPOSA, MASCARA -SM10S01 (50ROJO)",50.00,$3.20,50,1,60,42,32,$0.081,$0.08,$44.35,$44.35,$0.89,$4.09,204.352,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1943,"Vibradores de punto G, vibrador para hombres, punto G",40.00,$4.40,200,0.2,35,30,18,$0.019,$0.00,$10.40,$2.08,$0.05,$4.45,178.079,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2212,ALMOHADA DE GEL HILTON 35 x 55,150.00,$2.00,75,2,200,75,27.5,$0.413,$0.83,$226.88,$453.75,$3.03,$5.03,753.75,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2213,MAQUINA BOXEO BLUETOOH CON ACCESORIOS,70.00,$12.00,1,70,48,48,12,$0.028,$1.94,$15.21,"$1,064.45",$15.21,$27.21,1904.448,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2214,AIRE ACONDICIONADO PORTATIL (Especificaciones ),110.00,$7.28,10,11,52,43,64,$0.143,$1.57,$78.71,$865.78,$7.87,$15.15,1666.5792,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2257 MASS2258 MASS2259 MASS2260,"Velas de Masaje Tantric con Feromonas
25 azul, 25roja,25 negra,25 blanco",100.00,$1.45,100,1,30,30,40,$0.036,$0.04,$19.80,$19.80,$0.20,$1.65,164.8,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1945,"Aumenta La Intensidad, Satisfacción, Placer Y Calidad En Las Relaciones Sexuales",250.00,$0.60,250,1,46,46,35,$0.074,$0.07,$40.73,$40.73,$0.16,$0.76,190.733,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2215,FOMENTERA ESTERILLA ELECTRICA,150.00,$5.65,100,1.5,25,60,30,$0.045,$0.07,$24.75,$37.13,$0.25,$5.90,884.625,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2216,MASAJEADOR DE PIE PROFUNDO TERMICO,150.00,$6.00,20,7.5,60,37,75,$0.167,$1.25,$91.58,$686.81,$4.58,$10.58,1586.8125,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2218,Banco Ajustable De Pesas Ejercicio Abdominales Gym,15.00,$22.50,1,15,123.5,21,32.5,$0.084,$1.26,$46.36,$695.38,$46.36,$68.86,1032.882188,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2219,Ejercitador Pedal Plegable Electrico,20.00,$41.50,1,20,47,43,29,$0.059,$1.17,$32.23,$644.70,$32.23,$73.73,1474.699,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2220,"Herramienta inalámbrica para el cuidado del cabello, cepillo alisador eléctrico",120.00,$15.00,30,4,49.5,34.8,32.5,$0.056,$0.22,$30.79,$123.17,$1.03,$16.03,1923.1659,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2223,"EJERCITADOR 3 EN 1, EXPANSOR DE PECHO CON RESORTE, MANUAL FORTALECEDOR DE AGARRE",300.00,$2.25,10,30,58,35,40,$0.081,$2.44,$44.66,"$1,339.80",$4.47,$6.72,2014.8,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2224,DISPOSITIVO AUXILIAR DE ABDOMINALES CON AUTOSUCCIÓN PARA EL HOGAR,260.00,$1.88,20,13,64,29.5,56.5,$0.107,$1.39,$58.67,$762.70,$2.93,$4.81,1251.5048,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2225,Escalera De Agilidad Coordinacion Entrenamiento 6 Metros,150.00,$1.86,50,3,30,40,60,$0.072,$0.22,$39.60,$118.80,$0.79,$2.65,397.8,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2132,"Luces solares para el hogar, lámpara de energía Solar IP65, resistente al agua, para Interior y exterior
20Cm 100W",200.00,$2.35,20,10,48,46.5,37,$0.083,$0.83,$45.42,$454.21,$2.27,$4.62,924.212,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2133,"BELIA-cámara de vigilancia 4K de 8MP con WiFi, lente Dual, Zoom Digital 4X, detección humana por Ia, ONVIF, cámaras IP PTZ",90.00,$13.25,30,3,59,40,55,$0.130,$0.39,$71.39,$214.17,$2.38,$15.63,1406.67,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2135,Máquina de café portátil con Calefacción Automática inalámbrica,100.00,$17.00,25,4,47,47,30.5,$0.067,$0.27,$37.06,$148.22,$1.48,$18.48,1848.2239,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,PEDIDO ELECTRONICA,,,,,,,,,,,,,,,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1873,Mini Maquina De Coser 12 Puntadas,60.00,$10.00,6,10,45.5,32.5,61,$0.090,$0.90,$49.61,$496.12,$8.27,$18.27,1096.120625,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1061,MARCADOR DOBLE PUNTA 60 PCS TOUCH,600.00,$2.88,24,25,51.5,34.5,36,$0.064,$1.60,$35.18,$879.49,$1.47,$4.35,2607.49125,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1322,MARCADOR DOBLE PUNTA 80 PCS TOUCH,320.00,$3.95,16,20,51.5,34.5,36,$0.064,$1.28,$35.18,$703.59,$2.20,$6.15,1967.593,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1523,GANCHO SOPORTE PARA BICICLETA 4 PIEZAS,400.00,$0.91,10,40,42,41,18,$0.031,$1.24,$17.05,$681.91,$1.70,$2.61,1045.912,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1786,ALMOHADA DE GEL HILTON 30 x 50,200.00,$1.80,100,2,200,100,27.5,$0.550,$1.10,$302.50,$605.00,$3.03,$4.83,965,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0621,MAQUINA PARA AFEITAR PERRO,210.00,$2.90,70,3,58.5,45,34.5,$0.091,$0.27,$49.95,$149.86,$0.71,$3.61,758.8550625,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0329,MOUSE PAD MAPAMUNID,240.00,$0.98,120,2,32,82,32,$0.084,$0.17,$46.18,$92.36,$0.38,$1.36,327.5648,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1379,MOUSE PAD RGB 30X80,300.00,$2.15,120,2.5,32,82,32,$0.084,$0.21,$46.18,$115.46,$0.38,$2.53,760.456,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1881,"Bolso Termico Tipo Cava Camping Playa (NEGRO60, AZUL25, GRIS25, CAMUFLAJE30)",140.00,$7.00,20,7,57,57,40,$0.130,$0.91,$71.48,$500.35,$3.57,$10.57,1480.346,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1905,Masajeador de cuello GRANDE BLANCO,96.00,$6.50,12,8,53,47,35,$0.087,$0.70,$47.95,$383.61,$4.00,$10.50,1007.614,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0461,REMOVEDOR DE PUNTOS NEGROS RECARGABLE,100.00,$2.00,100,1,48,41.5,61,$0.122,$0.12,$66.83,$66.83,$0.67,$2.67,266.8316,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2131,"Lámpara Solar LED para exteriores, focos impermeables IP65, Sensor de movimiento, 3 modos, farola, decoración de jardín, 238/328, 348",120.00,$6.80,24,5,42,41,41,$0.071,$0.35,$38.83,$194.16,$1.62,$8.42,1010.1555,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1206,SET DE LIGAS TUBULARES DE RESISTENCIA,198.00,$4.90,18,11,50,38,40,$0.076,$0.84,$41.80,$459.80,$2.32,$7.22,1430,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1231,BALANZA DE 0.01 A 500GR,200.00,$1.50,100,2,49,29,34,$0.048,$0.10,$26.57,$53.15,$0.27,$1.77,353.1454,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2221,Lampara Colgante Tipo Riel Configurable Hexagonal 4070 MM X 2390 MM,15.00,$62.00,1,15,119,25,19,$0.057,$0.85,$31.09,$466.33,$31.09,$93.09,1396.33125,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1264,PLANCHA DE HIERRO FUNDIDO REVERSIBLE,100.00,$6.55,5,20,53,26,14,$0.019,$0.39,$10.61,$212.21,$2.12,$8.67,867.212,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1265,SET DE SARTENES HIERRO FUNDIDO,130.00,$9.35,5,26,47,40,35,$0.066,$1.71,$36.19,$940.94,$7.24,$16.59,2156.44,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1874,SET DE CEPILLO SECADOR 5 EN 1,200.00,$4.24,20,10,62,35,49.5,$0.107,$1.07,$59.08,$590.78,$2.95,$7.19,1438.7825,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0283,SELLADORA AL VACIO (10 BOLSAS) 110V,120.00,$2.45,40,3,59.5,39,45,$0.104,$0.31,$57.43,$172.30,$1.44,$3.89,466.297125,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,"MASS0781 S/M
MASS0782 M
MASS0783 L/XL
MASS0784 XXL","MEDIAS DE COMPRESION 20-30mmhg (S/M200, L/XL300, XXL100)",600.00,$0.47,200,3,50,40,40,$0.080,$0.24,$44.00,$132.00,$0.22,$0.69,414,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1204,SET BANDA ELASTICA TELA EJERCIO 3 PCS (GRISES / COLORES ),200.00,$1.50,50,4,41,35,48,$0.069,$0.28,$37.88,$151.54,$0.76,$2.26,451.536,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS2217,Escaladora Vertical Ejercicio Aerobico Y Cardio,15.00,$29.50,1,15,99,15,55,$0.082,$1.23,$44.92,$673.82,$44.92,$74.42,1116.31875,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1071,MOUSE VERTICAL INALAMBRICO RECARGABLE,100.00,$3.55,100,1,48,54,39,$0.101,$0.10,$55.60,$55.60,$0.56,$4.11,410.5984,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0994,BALANZA DE COCINA 10KG P20 ELEGANTE,200.00,$2.10,40,5,46,35,39,$0.063,$0.31,$34.53,$172.67,$0.86,$2.96,592.6725,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1064,ORGANIZADOR DE BAÑO 2 NIVELES RACK (KR-41),200.00,$2.40,60,3.333333333,69,53,63,$0.230,$0.77,$126.72,$422.38,$2.11,$4.51,902.3835,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1644,MOLDE PARA HACER HAMBURGUESA,192.00,$0.70,96,2,49,39,39,$0.075,$0.15,$40.99,$81.98,$0.43,$1.13,216.3819,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,PRODUCTOS NUEVOS,,,,,,,,,,,,,,,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1794,REFLECTOR SOLAR RECARGABLE PORTATIL 2000W,180.00,$3.05,30,6,58,26,51,$0.077,$0.46,$42.30,$253.80,$1.41,$4.46,802.7964,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1554,CORRECTOR DE POSTURA AJUSTABLE INTELIGENTE,120.00,$2.18,120,1,61,48.5,36.5,$0.108,$0.11,$59.39,$59.39,$0.49,$2.67,320.9918875,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1452,COMPRESA PARA FRIO/CALOR PARA DOLOR DE CABEZA MIGRAÑA,168.00,$1.25,24,7,38,27,25,$0.026,$0.18,$14.11,$98.75,$0.59,$1.84,308.7525,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0171,CONVERTIDOR HDMI A VGA CON AUDIO Negro,100.00,$0.85,100,1,45,40,20,$0.036,$0.04,$19.80,$19.80,$0.20,$1.05,104.8,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0704,MAQUINA MASTURBADORA CON PENE BPJ01,36.00,$14.00,12,3,60,38,55,$0.125,$0.38,$68.97,$206.91,$5.75,$19.75,710.91,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1820,RELOJ INTELIGENTE SMARTWATCH H92 UlTRA 3,350.00,$6.80,50,7,65,45,36,$0.105,$0.74,$57.92,$405.41,$1.16,$7.96,2785.405,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,"MASS1929 melocoton, fresa y cereza",Desensibilizador Anal-ese Lubricante Anal 45ml Sabor Cherry,250.00,$0.85,156,1.602564103,58,66,35,$0.134,$0.21,$73.69,$118.09,$0.47,$1.32,330.5913462,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,,NEBULIZADOR PORTATIL 2 BOQUILLAS,50.00,$2.95,50,1,53,50,37,$0.098,$0.10,$53.93,$53.93,$1.08,$4.03,201.4275,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1526,CAJA ORGANIZADOR DE ZAPATO 12 PCS,300.00,$5.45,10,30,76,46,35,$0.122,$3.67,$67.30,"$2,018.94",$6.73,$12.18,3653.94,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0422 MASS0427 MASS0423,"RELOJ D20S (400 NEGRO, 100 BLANCO, 100 ROSADO)",500.00,$1.40,250,2,45,51,45,$0.103,$0.21,$56.80,$113.60,$0.23,$1.63,813.6025,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0752 MASS0753 MASS1147,"RELOJ FD68 (350 NEGRO, 75 ROJO, 75 VERDE)",500.00,$1.40,100,5,43,33,27,$0.038,$0.19,$21.07,$105.36,$0.21,$1.61,805.36075,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS0942,AIRPODS PRO 2,500.00,$4.65,100,5,49.5,36.7,40.5,$0.074,$0.37,$40.47,$202.33,$0.40,$5.05,2527.329394,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASSS2080 MASS2081,"RELOJ INTELIGENTE QX11 BATERIA 520 MAH
(150 NEGRO, 50BLANQUECINO )",200.00,$10.65,100,2,50,27,31,$0.042,$0.08,$23.02,$46.04,$0.23,$10.88,2176.035,,,,
550,Entregado,8/11/2025,,CONTENEDOR MADRID,MASS1365,EXTENSOR DE PENE ISAO-PROED101 blanco,140.00,$4.65,50,2.8,41,35,46,$0.066,$0.18,$36.31,$101.66,$0.73,$5.38,752.6554,,,,
550,Entregado,8/11/2025,,CONTENEDOR BERLIN,MASS2159,"PERFIL WALL PANEL MADERA HYYC018 30x30mm x 2,90m",100.00,$1.00,50,2,295,15,8.5,$0.038,$0.08,$20.69,$41.37,$0.41,$1.41,141.37375,,,,
